tier,nse_symbol,name,sector,tier_reason,outreach_status,notes
T1,ITC,ITC Ltd,FMCG-Cigarettes-Hotels,"Rs 30K+ Cr net cash; cigarette monopoly; 80%+ payout; slow growth; demerging hotels",pending,
T1,HINDUNILVR,Hindustan Unilever,FMCG,"Cash-rich; debt-free; oligopoly leader; 7-9% growth; acquisitive",pending,
T1,NESTLEIND,Nestle India,FMCG-Foods,"Negative working capital; debt-free; category dominance",pending,
T1,ASIANPAINT,Asian Paints,Paints,"Decorative paint leader (~50% share); high ROCE; cash-rich",pending,
T1,PIDILITIND,Pidilite Industries,Adhesives-Chemicals,"Fevicol monopoly; debt-free; serial acquirer (Araldite etc)",pending,
T1,LT,Larsen & Toubro,Infra-EPC,"Diversified leader; defence + tech subs; cash buffers; active inorganic",pending,
T1,M&M,Mahindra & Mahindra,Auto-Farm Equipment,"Tractor leader; debt-free standalone; group famously acquisitive",pending,
T1,TCS,Tata Consultancy Services,IT Services,"Rs 73K+ Cr cash; 30%+ ROE; tuck-in acquirer",pending,
T1,INFY,Infosys,IT Services,"Rs 36K+ Cr cash; debt-free; serial inorganic (Simplus, Kaleidoscope)",pending,
T1,HCLTECH,HCL Technologies,IT Services,"Rs 6.5K+ Cr cash; debt-free; acquisitive (IBM products)",pending,
T1,WIPRO,Wipro,IT Services,"Rs 37K+ Cr cash; Premji cash hoard; serial acquirer (Capco, Rizing)",pending,
T1,COALINDIA,Coal India,Mining,"Near-debt-free PSU; massive cash; 6%+ div yield; diversification mandate",pending,
T1,BAJAJ-AUTO,Bajaj Auto,Auto-2W,"Net cash > Rs 20K Cr; #2 in 2W; buyback history; export leader",pending,
T1,HEROMOTOCO,Hero MotoCorp,Auto-2W,"Cash-rich; #1 entry-level 2W; under-leveraged",pending,
T1,DRREDDY,Dr Reddy's Laboratories,Pharma,"Net cash positive; serial inorganic (US generics)",pending,
T1,SUNPHARMA,Sun Pharmaceutical,Pharma,"India #1 pharma; cash-rich post-deleveraging; serial acquirer (Taro, Concert)",pending,
T1,MARICO,Marico,FMCG,"Parachute/Saffola monopoly; debt-free; D2C acquirer (Beardo, Just Herbs)",pending,
T1,BRITANNIA,Britannia Industries,FMCG-Foods,"Biscuit leader; high payout; Wadia cash discipline",pending,
T1,CUMMINSIND,Cummins India,Industrials-Engines,"Cash-rich MNC subsidiary; market leader; under-leveraged",pending,
T1,CRISIL,CRISIL,Ratings-Analytics,"Debt-free; cash-generating; S&P parent backing",pending,
T2,PERSISTENT,Persistent Systems,IT Services,"Mid-cap IT; cash-positive; acquisitive (SCI, MediaAgility)",pending,
T2,COFORGE,Coforge,IT Services,"Hexaware-class digital IT; cash-rich post-Baring sale",pending,
T2,KPITTECH,KPIT Technologies,Auto Tech-IT,"Automotive software leader; cash-rich; niche dominance",pending,
T2,TATAELXSI,Tata Elxsi,Design-IT,"Design + media + auto IT niche; high ROCE",pending,
T2,CAMS,Computer Age Management Services,Financial Tech,"MF RTA duopoly; cash-rich; debt-free",pending,
T2,CDSL,Central Depository Services,Financial Tech,"Depository duopoly; cash-rich; high payout",pending,
T2,MCX,Multi Commodity Exchange,Financial Tech,"Commodity exchange monopoly; cash-rich",pending,
T2,PAGEIND,Page Industries,Apparel-FMCG,"Jockey India licensee; high ROCE; debt-free",pending,
T2,BATAINDIA,Bata India,Footwear,"Largest footwear retailer India; cash-rich",pending,
T2,3MINDIA,3M India,Industrials-MNC,"Cash-rich MNC sub; high ROCE; under-leveraged",pending,
T2,HONAUT,Honeywell Automation India,Industrials-MNC,"MNC sub; cash-rich; market leader in automation",pending,
T2,SCHAEFFLER,Schaeffler India,Auto Components,"MNC sub; bearings/auto-comp leader; cash-rich",pending,
T2,CASTROLIND,Castrol India,Lubricants,"Lubricant brand leader; high payout; cash-rich",pending,
T2,CARERATING,Care Ratings,Ratings,"#2 ratings agency; cash-rich; high payout",pending,
T2,GUJGASLTD,Gujarat Gas,Utilities-Gas,"Largest CGD player; cash-rich; PSU-backed",pending,
T2,SUPREMEIND,Supreme Industries,Plastics,"Plastic products leader; debt-free; cash-rich",pending,
T2,ASTRAL,Astral Ltd,Plastics-Pipes,"CPVC/PVC pipes leader; debt-free; acquisitive (Rex Polyextrusion)",pending,
